entry_id,yoruba_word,tone_marked_form,ipa_transcription,pos_tag,pos_subcategory,grammatical_features,english_gloss,morphological_structure,morpheme_count,root_morpheme,derivational_affixes,inflectional_affixes,tone_pattern,syllable_count,syllable_structure,vowel_harmony_class,nasality,example_sentence_yoruba,example_sentence_tone_marked,example_sentence_english,syntactic_role,valency,aspect_marker,tense_marker,negation_form,dialect_variant,register,frequency_class,semantic_field,animacy,noun_class,verb_class,adposition_type,complementizer_type,focus_marker,serial_verb_position,idiomatic_usage,source_corpus,data_collector,annotation_confidence,notes
YOR_000011,aajin,aajin,/aaɟin/,noun,common,[],gloss_pending,derived,3,aajin,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aajin,Mo fẹ́ràn aajin,I like aajin,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000012,aajo,aajo,/aaɟo/,noun,common,[],gloss_pending,derived,3,aajo,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aajo,Mo fẹ́ràn aajo,I like aajo,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000013,aakaragba,aakaragba,/aakaraɡba/,noun,common,[],gloss_pending,derived,5,aakaragba,none,none,M-M-M-M-M,5,V-CV,ATR+,non-nasal,Mo feran aakaragba,Mo fẹ́ràn aakaragba,I like aakaragba,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000014,aake,aake,/aake/,noun,common,[],gloss_pending,derived,3,aake,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aake,Mo fẹ́ràn aake,I like aake,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000015,aala,aala,/aala/,noun,common,[],gloss_pending,derived,3,aala,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aala,Mo fẹ́ràn aala,I like aala,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000016,Aala,Aala,/aala/,noun,common,[],gloss_pending,derived,3,Aala,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran Aala,Mo fẹ́ràn Aala,I like Aala,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000017,aamu,aamu,/aamu/,noun,common,[],gloss_pending,derived,4,aamu,none,none,M-M-L-M,4,V-CV,ATR+,non-nasal,Mo feran aamu,Mo fẹ́ràn aamu,I like aamu,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000018,aanu,aanu,/aanu/,noun,common,[],gloss_pending,derived,3,aanu,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aanu,Mo fẹ́ràn aanu,I like aanu,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000019,aapọn,aapọn,/aak͡pɔn/,noun,common,[],gloss_pending,derived,3,aapọn,none,none,M-M-H,3,V-CV,ATR+,non-nasal,Mo feran aapọn,Mo fẹ́ràn aapọn,I like aapọn,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000020,Aarẹ-ọna-kakanfo,Aarẹ-ọna-kakanfo,/aarɛ-ɔna-kakanfo/,noun,common,[],gloss_pending,derived,8,Aarẹ-ọna-kakanfo,none,none,M-M-H-H-M-M-M-M,8,V-CV,ATR+,non-nasal,Mo feran Aarẹ-ọna-kakanfo,Mo fẹ́ràn Aarẹ-ọna-kakanfo,I like Aarẹ-ọna-kakanfo,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000021,aarin,aarin,/aarin/,noun,common,[],gloss_pending,derived,3,aarin,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aarin,Mo fẹ́ràn aarin,I like aarin,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000022,Aarinọla,Aarinọla,/aarinɔla/,noun,common,[],gloss_pending,derived,5,Aarinọla,none,none,M-M-M-H-M,5,V-CV,ATR+,non-nasal,Mo feran Aarinọla,Mo fẹ́ràn Aarinọla,I like Aarinọla,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000023,aaro,aaro,/aaro/,noun,common,[],gloss_pending,derived,3,aaro,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aaro,Mo fẹ́ràn aaro,I like aaro,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000024,aaro ki i gbona kalẹ,aaro ki i gbona kalẹ,/aaro ki i ɡbona kalɛ/,phrase,common,[],gloss_pending,derived,9,aaro ki i gbona kalẹ,none,none,M-M-M-M-M-M-M-M-H,9,V-CV,ATR+,non-nasal,Mo feran aaro ki i gbona kalẹ,Mo fẹ́ràn aaro ki i gbona kalẹ,I like aaro ki i gbona kalẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000025,aarọ,aarọ,/aarɔ/,noun,common,[],gloss_pending,derived,3,aarọ,none,none,M-M-H,3,V-CV,ATR+,non-nasal,Mo feran aarọ,Mo fẹ́ràn aarọ,I like aarọ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000026,aarun-un,aarun-un,/aarun-un/,noun,common,[],gloss_pending,derived,4,aarun-un,none,none,M-M-M-M,4,V-CV,ATR+,non-nasal,Mo feran aarun-un,Mo fẹ́ràn aarun-un,I like aarun-un,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000027,aasiki,aasiki,/aasiki/,noun,common,[],gloss_pending,derived,4,aasiki,none,none,M-M-M-M,4,V-CV,ATR+,non-nasal,Mo feran aasiki,Mo fẹ́ràn aasiki,I like aasiki,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000028,aasikiriimu,aasikiriimu,/aasikiriimu/,noun,common,[],gloss_pending,derived,8,aasikiriimu,none,none,M-M-M-M-M-M-L-M,8,V-CV,ATR+,non-nasal,Mo feran aasikiriimu,Mo fẹ́ràn aasikiriimu,I like aasikiriimu,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000029,aaṣaa-ita,aaṣaa-ita,/aaʃaa-ita/,noun,common,[],gloss_pending,derived,6,aaṣaa-ita,none,none,M-M-M-M-M-M,6,V-CV,ATR+,non-nasal,Mo feran aaṣaa-ita,Mo fẹ́ràn aaṣaa-ita,I like aaṣaa-ita,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000030,aawẹ,aawẹ,/aawɛ/,noun,common,[],gloss_pending,derived,3,aawẹ,none,none,M-M-H,3,V-CV,ATR+,non-nasal,Mo feran aawẹ,Mo fẹ́ràn aawẹ,I like aawẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000031,aaya,aaya,/aaja/,noun,common,[],gloss_pending,derived,3,aaya,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aaya,Mo fẹ́ràn aaya,I like aaya,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000032,aayan,aayan,/aajan/,noun,common,[],gloss_pending,derived,3,aayan,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aayan,Mo fẹ́ràn aayan,I like aayan,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000033,aaye,aaye,/aaje/,noun,common,[],gloss_pending,derived,3,aaye,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aaye,Mo fẹ́ràn aaye,I like aaye,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000034,aayo,aayo,/aajo/,noun,common,[],gloss_pending,derived,3,aayo,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aayo,Mo fẹ́ràn aayo,I like aayo,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000035,aba,aba,/aba/,noun,common,[],gloss_pending,root,2,aba,none,none,M-M,2,V-CV,ATR+,non-nasal,Mo feran aba,Mo fẹ́ràn aba,I like aba,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000036,aba-ipilẹ,aba-ipilẹ,/aba-ik͡pilɛ/,noun,common,[],gloss_pending,derived,5,aba-ipilẹ,none,none,M-M-M-M-H,5,V-CV,ATR+,non-nasal,Mo feran aba-ipilẹ,Mo fẹ́ràn aba-ipilẹ,I like aba-ipilẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000037,abajọ,abajọ,/abaɟɔ/,noun,common,[],gloss_pending,derived,3,abajọ,none,none,M-M-H,3,V-CV,ATR+,non-nasal,Mo feran abajọ,Mo fẹ́ràn abajọ,I like abajọ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000038,abakọọsi,abakọọsi,/abakɔɔsi/,noun,common,[],gloss_pending,derived,5,abakọọsi,none,none,M-M-H-H-M,5,V-CV,ATR+,non-nasal,Mo feran abakọọsi,Mo fẹ́ràn abakọọsi,I like abakọọsi,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000039,abari,abari,/abari/,noun,common,[],gloss_pending,derived,3,abari,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran abari,Mo fẹ́ràn abari,I like abari,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000040,Abarịṣa,Abarịṣa,/abarịʃa/,noun,common,[],gloss_pending,derived,3,Abarịṣa,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran Abarịṣa,Mo fẹ́ràn Abarịṣa,I like Abarịṣa,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000041,abata,abata,/abata/,noun,common,[],gloss_pending,derived,3,abata,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran abata,Mo fẹ́ràn abata,I like abata,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000042,abatao,abatao,/abatao/,noun,common,[],gloss_pending,derived,4,abatao,none,none,M-M-M-M,4,V-CV,ATR+,non-nasal,Mo feran abatao,Mo fẹ́ràn abatao,I like abatao,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000043,abbl.,abbl.,/abbl./,noun,common,[],gloss_pending,root,1,abbl.,none,none,M,1,V-CV,ATR+,non-nasal,Mo feran abbl.,Mo fẹ́ràn abbl.,I like abbl.,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000044,abeti aja,abeti aja,/abeti aɟa/,phrase,common,[],gloss_pending,derived,5,abeti aja,none,none,M-M-M-M-M,5,V-CV,ATR+,non-nasal,Mo feran abeti aja,Mo fẹ́ràn abeti aja,I like abeti aja,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000045,abẹ,abẹ,/abɛ/,noun,common,[],gloss_pending,root,2,abẹ,none,none,M-H,2,V-CV,ATR+,non-nasal,Mo feran abẹ,Mo fẹ́ràn abẹ,I like abẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000046,abẹbẹ,abẹbẹ,/abɛbɛ/,noun,common,[],gloss_pending,derived,3,abẹbẹ,none,none,M-H-H,3,V-CV,ATR+,non-nasal,Mo feran abẹbẹ,Mo fẹ́ràn abẹbẹ,I like abẹbẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000047,Abẹbi,Abẹbi,/abɛbi/,noun,common,[],gloss_pending,derived,3,Abẹbi,none,none,M-H-M,3,V-CV,ATR+,non-nasal,Mo feran Abẹbi,Mo fẹ́ràn Abẹbi,I like Abẹbi,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000048,Abẹkẹ,Abẹkẹ,/abɛkɛ/,noun,common,[],gloss_pending,derived,3,Abẹkẹ,none,none,M-H-H,3,V-CV,ATR+,non-nasal,Mo feran Abẹkẹ,Mo fẹ́ràn Abẹkẹ,I like Abẹkẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000049,abẹla,abẹla,/abɛla/,noun,common,[],gloss_pending,derived,3,abẹla,none,none,M-H-M,3,V-CV,ATR+,non-nasal,Mo feran abẹla,Mo fẹ́ràn abẹla,I like abẹla,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000050,Abẹni,Abẹni,/abɛni/,noun,common,[],gloss_pending,derived,3,Abẹni,none,none,M-H-M,3,V-CV,ATR+,non-nasal,Mo feran Abẹni,Mo fẹ́ràn Abẹni,I like Abẹni,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000051,Abẹokuta,Abẹokuta,/abɛokuta/,noun,common,[],gloss_pending,derived,5,Abẹokuta,none,none,M-H-M-M-M,5,V-CV,ATR+,non-nasal,Mo feran Abẹokuta,Mo fẹ́ràn Abẹokuta,I like Abẹokuta,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000052,abẹrẹ,abẹrẹ,/abɛrɛ/,noun,common,[],gloss_pending,derived,3,abẹrẹ,none,none,M-H-H,3,V-CV,ATR+,non-nasal,Mo feran abẹrẹ,Mo fẹ́ràn abẹrẹ,I like abẹrẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000053,abẹtẹ,abẹtẹ,/abɛtɛ/,noun,common,[],gloss_pending,derived,3,abẹtẹ,none,none,M-H-H,3,V-CV,ATR+,non-nasal,Mo feran abẹtẹ,Mo fẹ́ràn abẹtẹ,I like abẹtẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000054,abẹtẹlẹ,abẹtẹlẹ,/abɛtɛlɛ/,noun,common,[],gloss_pending,derived,4,abẹtẹlẹ,none,none,M-H-H-H,4,V-CV,ATR+,non-nasal,Mo feran abẹtẹlẹ,Mo fẹ́ràn abẹtẹlẹ,I like abẹtẹlẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000055,abẹya-kan-naa-lopọ,abẹya-kan-naa-lopọ,/abɛja-kan-naa-lok͡pɔ/,noun,common,[],gloss_pending,derived,8,abẹya-kan-naa-lopọ,none,none,M-H-M-M-M-M-M-H,8,V-CV,ATR+,non-nasal,Mo feran abẹya-kan-naa-lopọ,Mo fẹ́ràn abẹya-kan-naa-lopọ,I like abẹya-kan-naa-lopọ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000056,abi,abi,/abi/,noun,common,[],gloss_pending,root,2,abi,none,none,M-M,2,V-CV,ATR+,non-nasal,Mo feran abi,Mo fẹ́ràn abi,I like abi,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000057,abi-,abi-,/abi-/,noun,common,[],gloss_pending,root,2,abi-,none,none,M-M,2,V-CV,ATR+,non-nasal,Mo feran abi-,Mo fẹ́ràn abi-,I like abi-,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000058,abia,abia,/abia/,noun,common,[],gloss_pending,derived,3,abia,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran abia,Mo fẹ́ràn abia,I like abia,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000059,Abia,Abia,/abia/,noun,common,[],gloss_pending,derived,3,Abia,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran Abia,Mo fẹ́ràn Abia,I like Abia,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000060,abidi,abidi,/abidi/,noun,common,[],gloss_pending,derived,3,abidi,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran abidi,Mo fẹ́ràn abidi,I like abidi,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000061,abigbẹyin,abigbẹyin,/abiɡbɛjin/,noun,common,[],gloss_pending,derived,4,abigbẹyin,none,none,M-M-H-M,4,V-CV,ATR+,non-nasal,Mo feran abigbẹyin,Mo fẹ́ràn abigbẹyin,I like abigbẹyin,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000062,abiikọ,abiikọ,/abiikɔ/,noun,common,[],gloss_pending,derived,4,abiikọ,none,none,M-M-M-H,4,V-CV,ATR+,non-nasal,Mo feran abiikọ,Mo fẹ́ràn abiikọ,I like abiikọ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000063,Abikẹ,Abikẹ,/abikɛ/,noun,common,[],gloss_pending,derived,3,Abikẹ,none,none,M-M-H,3,V-CV,ATR+,non-nasal,Mo feran Abikẹ,Mo fẹ́ràn Abikẹ,I like Abikẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000064,abiku,abiku,/abiku/,noun,common,[],gloss_pending,derived,3,abiku,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran abiku,Mo fẹ́ràn abiku,I like abiku,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000065,abilekọ,abilekọ,/abilekɔ/,noun,common,[],gloss_pending,derived,4,abilekọ,none,none,M-M-M-H,4,V-CV,ATR+,non-nasal,Mo feran abilekọ,Mo fẹ́ràn abilekọ,I like abilekọ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000066,Abimbọla,Abimbọla,/abimbɔla/,noun,common,[],gloss_pending,derived,5,Abimbọla,none,none,M-M-L-H-M,5,V-CV,ATR+,non-nasal,Mo feran Abimbọla,Mo fẹ́ràn Abimbọla,I like Abimbọla,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
